Rep1,Sharing,PercAccuracy,sentenceNumber
0,37,22,1
1,40,22,2
1,100,100,3
0,99,99,4
1,17,60,5
1,81,79,6
0,5,17,7
1,79,63,8
1,21,37,9
1,21,33,10
0,67,83,11
0,63,95,12
0,64,82,13
0,69,62,14
0,72,100,15
0,5,87,16
0,1,63,17
1,88,56,18
1,89,80,19
1,99,98,20
1,7,9,21
0,57,97,22
0,75,93,23
0,22,86,24
0,85,80,25
0,59,23,26
1,6,60,27
1,6,100,28
1,25,22,29
0,22,20,30
0,100,26,31
0,30,51,32
1,1,9,33
1,1,11,34
1,2,34,35
1,81,99,36
1,71,23,37
0,3,4,38
1,61,64,39
0,81,95,40
0,63,73,41
0,10,85,42
1,100,96,43
0,7,35,44
1,82,99,45
0,6,6,46
0,83,95,47
0,6,3,48
1,22,18,49
1,100,81,50
0,79,95,51
1,26,82,52
0,64,21,53
0,80,99,54
1,12,20,55
0,100,100,56
1,61,77,57
1,5,80,58
1,94,99,59
1,72,85,60
0,1,1,1
1,1,82,2
1,1,22,3
1,1,80,4
0,1,8,5
0,52,5,6
1,1,2,7
0,1,78,8
0,1,3,9
0,1,59,10
1,1,5,11
0,1,98,12
0,1,83,13
1,1,1,14
0,1,79,15
1,1,19,16
1,1,2,17
1,1,39,18
1,15,82,19
1,11,79,20
1,1,6,21
1,1,19,22
1,1,25,23
1,1,80,24
0,1,60,25
0,1,78,26
0,18,62,27
0,1,94,28
1,1,2,29
1,1,4,30
1,1,23,31
1,1,70,32
1,1,1,33
1,1,2,34
0,1,4,35
0,1,5,36
0,1,57,37
1,1,34,38
0,1,89,39
0,1,6,40
1,1,78,41
1,1,98,42
0,12,83,43
1,1,81,44
0,1,64,45
1,1,72,46
0,40,82,47
0,1,3,48
1,1,4,49
0,20,73,50
1,1,99,51
0,1,61,52
0,1,16,53
1,1,98,54
0,1,79,55
0,41,89,56
0,18,100,57
0,1,21,58
0,11,19,59
1,1,53,60
1,1,1,1
0,57,79,2
0,59,78,3
1,21,68,4
0,1,53,5
0,36,82,6
0,1,16,7
1,1,17,8
1,1,12,9
1,1,1,10
1,1,37,11
1,16,61,12
0,1,27,13
1,15,76,14
0,38,79,15
1,1,31,16
0,16,34,17
0,19,57,18
0,39,84,19
1,58,82,20
0,1,17,21
1,1,13,22
1,66,85,23
0,64,87,24
0,42,70,25
0,39,72,26
0,1,1,27
1,41,86,28
1,1,1,29
1,1,1,30
0,1,1,31
0,1,34,32
1,1,1,33
0,1,1,34
1,1,1,35
1,1,39,36
0,1,14,37
1,1,1,38
0,18,74,39
1,1,13,40
1,20,60,41
1,63,85,42
0,41,86,43
0,21,60,44
0,17,56,45
0,1,17,46
0,61,82,47
1,1,1,48
1,1,21,49
1,38,82,50
1,61,75,51
0,20,64,52
1,1,37,53
1,41,81,54
0,60,76,55
1,40,85,56
0,21,81,57
0,1,1,58
1,39,82,59
0,62,90,60
1,26,24,1
0,79,43,2
0,79,82,3
1,74,75,4
0,82,23,5
1,82,78,6
0,2,6,7
1,16,6,8
1,16,9,9
0,2,4,10
0,80,69,11
1,91,78,12
1,21,39,13
1,96,83,14
1,83,82,15
0,60,60,16
1,61,81,17
0,83,60,18
0,73,86,19
0,97,84,20
1,23,8,21
0,37,22,22
1,80,92,23
0,79,58,24
1,91,81,25
0,6,79,26
0,20,23,27
1,19,95,28
0,8,7,29
0,6,4,30
1,2,25,31
1,24,23,32
0,22,4,33
0,12,16,34
1,7,9,35
0,83,45,36
1,82,64,37
0,2,5,38
0,79,78,39
1,14,29,40
0,87,62,41
0,80,88,42
0,61,83,43
0,15,76,44
1,90,79,45
0,62,70,46
0,88,82,47
0,21,39,48
1,3,6,49
1,92,80,50
1,80,90,51
0,82,66,52
1,17,40,53
1,16,100,54
1,95,82,55
1,88,96,56
1,3,100,57
1,88,62,58
0,78,72,59
1,39,65,60
0,9,1,1
0,61,84,2
1,64,65,3
0,53,49,4
1,51,49,5
1,53,53,6
0,44,21,7
1,53,57,8
1,43,19,9
0,31,6,10
1,11,9,11
1,70,80,12
0,73,94,13
1,24,7,14
1,75,70,15
1,62,94,16
1,13,18,17
1,42,37,18
1,63,57,19
0,55,73,20
0,80,50,21
1,17,13,22
0,68,70,23
1,79,81,24
0,59,67,25
1,74,59,26
1,58,62,27
1,71,96,28
1,35,83,29
0,67,61,30
1,71,29,31
0,66,57,32
0,56,35,33
0,17,10,34
0,6,3,35
1,22,22,36
0,58,62,37
0,63,49,38
1,57,73,39
0,18,12,40
0,59,92,41
0,71,95,42
0,87,94,43
0,67,62,44
1,67,88,45
0,55,35,46
1,50,39,47
0,20,37,48
1,15,8,49
0,62,63,50
1,68,86,51
1,81,86,52
0,59,41,53
0,66,96,54
0,71,92,55
1,60,94,56
0,69,98,57
0,49,40,58
1,73,94,59
1,73,63,60
0,4,5,1
1,64,100,2
0,80,99,3
1,76,63,4
1,58,52,5
0,62,84,6
0,1,6,7
1,1,36,8
0,1,1,9
0,62,19,10
1,28,11,11
0,64,92,12
0,42,21,13
1,45,99,14
1,100,100,15
0,82,78,16
1,62,61,17
0,65,69,18
1,85,100,19
1,100,100,20
0,21,21,21
1,1,1,22
1,67,91,23
1,100,100,24
0,46,70,25
1,100,82,26
0,53,9,27
1,71,85,28
1,19,60,29
1,1,10,30
1,1,1,31
1,2,1,32
1,36,19,33
1,39,39,34
0,1,1,35
0,1,34,36
1,5,62,37
0,22,1,38
1,82,100,39
1,1,1,40
1,63,81,41
0,100,100,42
0,61,100,43
0,63,64,44
1,79,83,45
1,97,100,46
0,1,23,47
0,1,1,48
1,4,1,49
0,73,90,50
1,100,89,51
0,20,61,52
0,47,64,53
0,100,100,54
0,100,100,55
0,100,100,56
0,100,100,57
1,65,80,58
0,80,91,59
0,78,73,60
0,87,95,1
1,41,80,2
0,98,99,3
1,98,99,4
1,15,93,5
0,97,97,6
0,2,12,7
0,99,100,8
0,1,1,9
1,78,98,10
1,65,82,11
1,3,5,12
0,35,90,13
1,71,98,14
1,94,91,15
1,75,84,16
1,33,77,17
0,20,37,18
1,95,99,19
0,87,93,20
1,1,1,21
0,85,61,22
0,97,94,23
0,98,96,24
1,98,99,25
0,96,97,26
0,84,75,27
0,97,100,28
1,84,98,29
1,91,96,30
0,2,1,31
1,55,96,32
1,4,5,33
0,3,13,34
1,2,2,35
1,74,80,36
0,7,6,37
0,13,4,38
1,82,65,39
0,19,40,40
0,97,94,41
1,98,99,42
0,99,99,43
1,99,97,44
1,98,99,45
1,9,3,46
0,100,100,47
0,65,86,48
1,3,4,49
0,97,98,50
1,99,84,51
0,100,96,52
1,89,95,53
1,95,100,54
0,78,83,55
1,98,99,56
0,98,98,57
0,93,99,58
0,99,99,59
1,97,97,60
1,2,1,1
1,99,82,2
1,96,83,3
0,41,52,4
0,8,61,5
1,100,80,6
0,81,61,7
0,20,39,8
1,20,21,9
0,30,49,10
0,1,3,11
1,62,81,12
0,80,82,13
0,10,56,14
1,100,82,15
1,100,82,16
0,41,52,17
0,40,47,18
0,61,51,19
1,3,60,20
0,81,62,21
1,21,51,22
1,61,49,23
1,61,80,24
1,99,81,25
0,71,78,26
1,81,55,27
1,99,81,28
0,72,56,29
1,80,61,30
0,41,49,31
1,40,50,32
1,61,80,33
0,60,60,34
1,21,45,35
0,1,62,36
1,61,53,37
0,61,97,38
1,100,81,39
0,20,11,40
1,62,61,41
0,80,70,42
0,61,72,43
