Rep1,Sharing,PercAccuracy,sentenceNumber
1,5,5,1
1,4,3,2
0,3,3,3
0,6,6,4
1,6,6,5
0,3,3,6
1,4,3,7
1,1,1,8
0,4,4,9
0,5,6,10
0,3,4,11
0,6,5,12
1,5,5,13
1,4,4,14
1,3,3,15
1,3,5,16
1,4,4,17
0,4,3,18
1,4,6,19
0,5,5,20
0,5,6,21
0,6,6,22
1,5,6,23
0,5,5,24
0,5,6,25
0,5,6,26
0,4,6,27
0,6,6,28
1,6,6,29
1,4,6,30
1,5,5,31
1,1,1,32
0,3,4,33
1,3,4,34
1,6,6,35
1,4,5,36
0,1,1,37
0,5,4,38
0,5,6,39
1,5,5,40
1,5,5,41
0,5,6,42
0,1,1,43
1,4,5,44
0,2,1,45
1,5,5,46
0,4,4,47
1,5,3,48
1,3,3,49
0,4,4,50
0,3,3,51
0,5,5,52
1,2,2,53
1,1,1,54
1,6,5,55
1,1,1,56
0,1,1,57
0,1,1,58
0,1,1,59
1,6,6,60
0,5,6,1
0,4,3,2
1,5,6,3
1,1,6,4
1,2,5,5
0,1,3,6
1,4,6,7
1,4,6,8
0,4,6,9
0,1,5,10
1,3,6,11
0,2,2,12
0,2,4,13
1,3,6,14
0,1,4,15
1,1,6,16
1,3,6,17
0,2,5,18
0,1,6,19
0,1,6,20
1,1,6,21
0,1,6,22
0,1,6,23
0,2,5,24
1,1,6,25
1,1,6,26
1,2,6,27
1,1,6,28
0,1,6,29
1,1,6,30
1,4,6,31
0,1,6,32
0,2,3,33
1,2,6,34
1,3,6,35
0,2,3,36
1,1,6,37
0,5,4,38
1,2,6,39
1,3,6,40
1,4,6,41
0,4,4,42
1,1,1,43
0,2,2,44
1,5,6,45
1,1,6,46
1,4,5,47
0,2,3,48
0,5,2,49
0,1,6,50
0,3,4,51
0,3,4,52
0,1,1,53
0,3,3,54
0,1,6,55
1,1,1,56
1,1,2,57
1,1,1,58
1,4,5,59
0,4,5,60
1,5,6,1
1,1,4,2
